id,gatewayId,containerTemperature1,containerTemperatureSensorId1,containerTemperature2,containerTemperatureSensorId2,containerTemperature3,containerTemperatureSensorId3,humidityValue,humidityTemperature,humiditySensorId,hvacStateOn,hvacStateValue,hvacActuatorId,currentClampValue,currentClampSensorId,externalTemperature,externalTemperatureId,parcelTemperature,parcelTemperatureSensorId,timestamp
-1,GATEWAY,27.65,80_00_00_00_00_01,26.84,80_00_00_00_00_02,22.17,80_00_00_00_00_03,13.69,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.87,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:21:54"
-1,GATEWAY,27.65,80_00_00_00_00_01,26.84,80_00_00_00_00_02,22.17,80_00_00_00_00_03,13.69,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.87,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:21:59"
-1,GATEWAY,27.65,80_00_00_00_00_01,26.84,80_00_00_00_00_02,22.17,80_00_00_00_00_03,13.69,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.87,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:22:04"
-1,GATEWAY,27.65,80_00_00_00_00_01,26.84,80_00_00_00_00_02,22.17,80_00_00_00_00_03,13.69,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.87,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:22:09"
-1,GATEWAY,27.75,80_00_00_00_00_01,26.91,80_00_00_00_00_02,22.27,80_00_00_00_00_03,13.02,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.88,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:22:14"
-1,GATEWAY,27.75,80_00_00_00_00_01,26.91,80_00_00_00_00_02,22.27,80_00_00_00_00_03,13.02,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.88,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:22:19"
-1,GATEWAY,27.75,80_00_00_00_00_01,26.91,80_00_00_00_00_02,22.27,80_00_00_00_00_03,13.02,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.88,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:22:24"
-1,GATEWAY,27.75,80_00_00_00_00_01,26.91,80_00_00_00_00_02,22.27,80_00_00_00_00_03,13.02,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.88,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:22:29"
-1,GATEWAY,27.85,80_00_00_00_00_01,26.97,80_00_00_00_00_02,22.36,80_00_00_00_00_03,12.5,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.89,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:22:34"
-1,GATEWAY,27.85,80_00_00_00_00_01,26.97,80_00_00_00_00_02,22.36,80_00_00_00_00_03,12.5,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.89,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:22:39"
-1,GATEWAY,27.85,80_00_00_00_00_01,26.97,80_00_00_00_00_02,22.36,80_00_00_00_00_03,12.5,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.89,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:22:44"
-1,GATEWAY,27.85,80_00_00_00_00_01,26.97,80_00_00_00_00_02,22.36,80_00_00_00_00_03,12.5,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.89,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:22:49"
-1,GATEWAY,27.93,80_00_00_00_00_01,27.03,80_00_00_00_00_02,22.43,80_00_00_00_00_03,12.12,0,80_00_00_00_02_01,1,15,80_00_00_00_05_01,3.91,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:22:54"
